av_infections_4,sd_infections_4,av_susceptible_4,sd_susceptible_4,av_recovered_4,sd_recovered_4,av_infections_6,sd_infections_6,av_susceptible_6,sd_susceptible_6,av_recovered_6,sd_recovered_6,av_infections_8,sd_infections_8,av_susceptible_8,sd_susceptible_8,av_recovered_8,sd_recovered_8,av_infections_12,sd_infections_12,av_susceptible_12,sd_susceptible_12,av_recovered_12,sd_recovered_12,av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
341.9,78.37863938032551,6.2,3.5213633723318023,9560.8,76.45012898761011,943.3,476.8058188496538,10.2,8.243515970479804,8913.3,535.9546104330519,1959.9,414.72171392392755,152.6,232.6299875577332,7393.5,819.5638745359903,1900.5,220.7025398836885,2726.4,1093.9689412613343,4488.1,941.2312798787672,1387.5,351.0505661582103,4888.9,1321.245241765846,2999.8,819.8454867974954,48
290.3,68.67645561293591,6.2,3.5213633723318023,9611.5,67.57259470788107,831.3,439.65644415712694,9.6,6.883151732874829,9036.9,483.3460802916822,1832.5,425.9666784046742,114.2,183.69346446972165,7616.1,789.0313963616685,1896.9,187.57010541246822,2560.8,1059.7042354669845,4681.8,965.2645923959572,1398.9,353.5771014455923,4732.8,1333.0021922129179,3137.9,855.4256185600761,49
241.7,57.708173886663,6.2,3.5213633723318023,9659.9,57.00769928507708,729.4,397.9394705507638,9.1,5.526702854726717,9147.8,430.4420983128858,1704.2,438.2931033503088,87.7,147.1356516959775,7831.3,752.4347221594118,1879.3,157.08104772873,2380.8,1032.9785197293418,4881.6,988.534628180071,1398.5,339.4607652013869,4587.1,1356.8839670362386,3289.3,892.9229218944066,50
202.1,53.05437462327369,6.2,3.5213633723318023,9699.5,52.54468997381604,640.9,356.86208042385846,8.4,4.247875285886398,9243.1,380.2631983245289,1568.8,442.1502509831296,68.0,114.85933426007077,8033.8,717.9100531713178,1862.3,126.53418510426343,2215.5,993.4671330469089,5078.6,1003.9078310947341,1411.8,339.77077240071395,4424.2,1382.9598531973209,3430.9,924.8984869222736,51
165.1,45.354039388888935,6.1,3.414023367751831,9736.0,44.85532298401161,562.3,320.05417944119677,8.0,4.242640687119285,9327.3,336.7686479205305,1438.2,438.4804062517123,48.2,83.28371856358108,8220.5,679.5860259501122,1837.2,89.43874377968918,2050.3,943.253006002808,5278.6,1028.446314701075,1417.0,326.7714117782576,4267.2,1387.5573902044957,3576.5,963.0520062108103,52
135.4,39.51989653607689,6.1,3.414023367751831,9765.6,39.682629841167426,490.5,287.80828881585586,7.9,4.04007700696685,9401.6,299.9767398390156,1316.6,437.62825421685113,36.7,65.90236886654549,8395.7,638.3786842027579,1812.2,76.16619255869948,1888.7,891.1144146516764,5466.8,1045.160040908143,1425.2,312.12668368255004,4121.0,1374.0190844542315,3722.4,992.1960155802548,53
112.4,33.804010281490434,6.1,3.414023367751831,9788.5,34.20282639393027,422.0,254.2151319912592,7.6,3.533962208186286,9472.6,262.09887871225664,1196.7,425.78190817991936,24.9,45.25839394214317,8556.1,594.9458332020189,1787.4,99.4799812357575,1733.6,831.8054259661129,5663.6,1045.884229837233,1432.8,293.256353535416,3968.0,1382.6342812022112,3866.4,1026.7124665108965,54
92.4,30.394443936716826,6.1,3.414023367751831,9808.4,30.580313202378353,365.7,227.3133177894433,7.5,3.4075080500434787,9530.8,232.32869435827814,1079.7,405.1482718983535,17.7,28.88309771013721,8702.7,549.6178571415678,1765.0,121.4148078100672,1604.9,781.9025869988892,5852.9,1049.7025451685508,1427.2,270.07891850757665,3819.2,1376.9372454029187,4019.0,1065.4001856370946,55
76.6,25.77337127088086,6.1,3.414023367751831,9824.0,26.178871888095816,316.5,201.04518563414211,7.5,3.4075080500434787,9580.6,203.55790876854238,965.7,385.52649426177936,12.5,17.238522751867883,8842.8,504.3856108618132,1739.7,162.4643892604708,1469.6,736.0477339593314,6034.4,1052.280718777604,1426.2,240.7238159292835,3672.4,1379.701191482336,4164.6,1100.221311070338,56
60.2,22.596951613485885,6.1,3.414023367751831,9840.2,23.327618347739183,270.4,177.18176480038167,7.3,3.368151487751767,9627.5,178.33130839971864,859.0,361.49535113039684,8.4,7.862710869809612,8970.6,459.6934244085338,1697.7,193.6595236777967,1324.6,666.3106049150218,6225.8,1045.9028848054893,1432.2,229.4451277902119,3520.1,1372.5028597420117,4309.4,1119.0584534429925,57
