cell,microcell,location_x,location_y,household_number,place_number,Susceptible,InfectMild
551,7,5.87500000000001,49.9083333333333,3,5,7,0
551,8,5.87500000000001,49.9083333333333,3,9,6,0
552,0,5.88333333333334,49.9083333333333,9,8,21,0
552,1,5.88333333333334,49.9083333333333,11,8,26,0
552,2,5.88333333333334,49.9083333333333,10,6,24,0
552,3,5.88333333333334,49.9083333333333,10,6,23,0
552,4,5.88333333333334,49.9083333333333,15,4,36,0
552,5,5.88333333333334,49.9083333333333,11,5,25,0
552,6,5.88333333333334,49.9083333333333,12,2,29,0
552,7,5.88333333333334,49.9083333333333,11,3,25,0
552,8,5.88333333333334,49.9083333333333,9,7,20,0
553,0,5.89166666666668,49.9083333333333,1,4,1,0
553,1,5.89166666666668,49.9083333333333,1,5,1,0
553,2,5.89166666666668,49.9083333333333,1,5,1,0
553,3,5.89166666666668,49.9083333333333,1,4,1,0
553,4,5.89166666666668,49.9083333333333,0,8,0,0
553,5,5.89166666666668,49.9083333333333,1,5,1,0
553,6,5.89166666666668,49.9083333333333,2,5,3,0
553,7,5.89166666666668,49.9083333333333,0,4,0,0
553,8,5.89166666666668,49.9083333333333,1,6,2,0
554,0,5.91666666666668,49.9083333333333,0,4,0,0
554,1,5.91666666666668,49.9083333333333,2,6,4,0
554,2,5.91666666666668,49.9083333333333,1,4,2,0
554,3,5.91666666666668,49.9083333333333,2,4,3,0
554,4,5.91666666666668,49.9083333333333,2,6,3,0
554,5,5.91666666666668,49.9083333333333,1,4,2,0
554,6,5.91666666666668,49.9083333333333,1,2,1,0
554,7,5.91666666666668,49.9083333333333,1,3,2,0
554,8,5.91666666666668,49.9083333333333,2,4,3,0
555,0,5.92500000000001,49.9083333333333,1,4,1,0
555,1,5.92500000000001,49.9083333333333,2,4,3,0
555,2,5.92500000000001,49.9083333333333,1,9,1,0
555,3,5.92500000000001,49.9083333333333,0,3,0,0
555,4,5.92500000000001,49.9083333333333,0,5,0,0
555,5,5.92500000000001,49.9083333333333,1,3,1,0
555,6,5.92500000000001,49.9083333333333,0,4,0,0
555,7,5.92500000000001,49.9083333333333,1,3,1,0
555,8,5.92500000000001,49.9083333333333,1,9,2,0
556,0,5.93333333333334,49.9083333333333,3,0,6,0
556,1,5.93333333333334,49.9083333333333,3,5,7,0
556,2,5.93333333333334,49.9083333333333,3,6,6,0
556,3,5.93333333333334,49.9083333333333,4,6,8,0
556,4,5.93333333333334,49.9083333333333,3,4,5,0
556,5,5.93333333333334,49.9083333333333,5,4,10,0
556,6,5.93333333333334,49.9083333333333,3,3,7,0
556,7,5.93333333333334,49.9083333333333,2,2,4,0
556,8,5.93333333333334,49.9083333333333,4,3,8,0
557,0,5.94166666666668,49.9083333333333,2,4,4,0
557,1,5.94166666666668,49.9083333333333,1,4,1,0
557,2,5.94166666666668,49.9083333333333,1,1,2,0
557,3,5.94166666666668,49.9083333333333,1,2,1,0
557,4,5.94166666666668,49.9083333333333,1,4,2,0
557,5,5.94166666666668,49.9083333333333,1,5,1,0
557,6,5.94166666666668,49.9083333333333,2,6,3,0
557,7,5.94166666666668,49.9083333333333,1,6,2,0
557,8,5.94166666666668,49.9083333333333,3,6,6,0
558,0,5.95000000000001,49.9083333333333,3,6,6,0
558,1,5.95000000000001,49.9083333333333,3,2,5,0
558,2,5.95000000000001,49.9083333333333,3,5,6,0
558,3,5.95000000000001,49.9083333333333,1,8,1,0
558,4,5.95000000000001,49.9083333333333,3,6,6,0
558,5,5.95000000000001,49.9083333333333,3,3,5,0
558,6,5.95000000000001,49.9083333333333,3,5,7,0
558,7,5.95000000000001,49.9083333333333,2,5,4,0
558,8,5.95000000000001,49.9083333333333,3,6,5,0
559,0,5.95833333333334,49.9083333333333,5,8,11,0
559,1,5.95833333333334,49.9083333333333,5,3,11,0
559,2,5.95833333333334,49.9083333333333,6,7,14,0
559,3,5.95833333333334,49.9083333333333,6,4,14,0
559,4,5.95833333333334,49.9083333333333,8,3,18,0
559,5,5.95833333333334,49.9083333333333,6,5,14,0
559,6,5.95833333333334,49.9083333333333,6,5,14,0
